id;start_date;end_date;language
1;2022-12-12T17:08:41;2022-12-12T14:58:56;SPANISH
2;2022-12-12T02:36:16;2022-12-12T12:01:45;ENGLISH
3;2022-12-12T12:32:28;2022-12-12T00:37:36;CATALAN
4;2022-12-12T17:03:17;2022-12-11T22:29:36;FRENCH
5;2022-12-12T19:19:40;2022-12-12T03:38:38;ENGLISH
6;2022-12-12T04:50:23;2022-12-12T18:50:43;CATALAN
7;2022-12-12T12:54:11;2022-12-11T23:28:20;ENGLISH
8;2022-12-12T03:20:04;2022-12-11T23:55:53;FRENCH
9;2022-12-12T04:11:42;2022-12-12T15:43:08;ENGLISH
10;2022-12-12T00:08:40;2022-12-12T17:06:09;FRENCH
